time,signal,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,blinkStrength,
122003,0,56,37,597867,74221,15427,24764,5446,15394,21743,5646,44,
122004,0,64,29,1341454,648646,28901,30713,36896,131445,39367,19386,44,
122006,0,64,40,960539,293597,179333,39254,33032,36365,60276,21120,86,
122007,0,54,14,1722128,541317,15820,87464,64160,34753,76399,12221,140,
122008,0,56,26,582442,65585,4674,13522,12250,23521,12405,3014,43,
122009,0,56,13,258781,210463,51181,4997,20944,20984,38707,11266,54,
122010,0,66,29,172556,51698,9620,7378,7599,12697,2922,1876,85,
122011,0,64,30,1069200,710659,41687,102003,36738,32498,28911,28286,54,
122012,0,57,47,230006,21182,14353,12656,19978,4889,10288,2491,54,
122013,0,60,51,1647792,399035,149770,28867,40682,48495,72396,42510,78,
122014,0,53,60,1700858,1164945,431425,405802,475967,152646,266340,44773,44,
122016,0,60,60,1676487,339847,34123,45079,6713,42835,27795,28665,103,
122017,0,64,38,101584,46296,25616,4428,4141,6547,3696,1823,103,
122018,0,74,29,97752,15515,1545,3454,1237,6179,2949,1679,103,
122019,0,69,21,1160096,694068,30689,38715,12485,50484,63792,40792,103,
122020,0,63,38,438925,402328,51822,51106,19020,40214,75057,22718,103,
122021,0,70,41,945332,13223,15498,6874,3884,11811,6830,4858,32,
122022,0,61,30,206056,82250,6803,2232,2315,6412,6989,5892,136,
122023,0,63,56,2232200,151309,48127,100575,17640,30979,43173,30325,136,
122024,0,63,63,806637,94643,14695,18078,3343,9666,21226,8911,136,
122025,0,60,60,1161686,19603,3299,17549,8647,7196,6621,5617,136,
122026,0,69,81,19939,30059,22890,10997,10217,20328,16679,4103,136,
122027,0,75,78,149573,39399,19497,19215,11676,16022,24528,5755,136,
122028,0,81,88,632284,55128,36265,38969,18394,25137,43109,7370,136,
122029,0,87,70,3248,38843,5354,6481,15737,24710,10248,2866,136,
122030,0,80,74,12636,43567,11492,40335,14049,10138,21111,3901,136,
122031,0,78,69,11515,24188,9619,15986,26615,9405,15955,4771,136,
122033,0,77,56,555410,97245,1222,37458,35265,23803,33666,4369,42,
122034,0,69,70,145568,61291,63741,19600,15027,17864,18299,5602,42,
122035,54,64,51,1073370,140570,9743,1745,7657,15602,4763,2443,42,
122036,80,64,51,2065148,174921,35859,73947,29153,27053,6747,5794,42,
122037,54,64,51,347683,38873,5310,8831,14204,11318,2301,2449,42,
122038,80,64,51,669142,32546,22824,17382,21720,16535,3177,6280,42,
122039,51,64,51,1043440,79736,24188,25453,27757,25775,6410,2002,42,
122040,25,64,51,916539,28179,34196,10517,12056,6103,2887,2695,42,
122041,0,64,51,941653,137062,10492,10037,3671,1776,987,1509,42,
122042,0,57,63,268118,94086,50979,39101,12472,11665,5772,21668,42,
122043,0,54,61,278569,75729,12710,16368,6128,7733,5556,4447,36,
122044,0,41,44,1934100,728044,64187,96770,34495,13145,10797,11566,36,
122046,0,37,57,85771,55159,11656,4725,6014,3674,2374,3625,34,
122047,0,41,74,86607,7547,20838,6005,6687,5121,4545,14245,34,
122048,0,60,78,304697,7623,2508,1490,2733,2973,3313,2558,34,
122049,0,57,83,875756,298859,104520,25123,6785,19605,13388,14431,34,
122050,0,57,69,122713,86296,7480,13024,14085,7125,13029,14191,34,
122051,0,64,51,19720,17447,2737,8487,6906,10936,9152,8947,34,
122052,0,57,69,302221,24007,39835,17662,11265,7384,13032,8309,34,
122053,0,63,64,23650,37819,7807,8853,20226,5539,4695,4586,34,
122054,0,69,80,24406,13506,15019,6718,12942,5981,4968,7786,40,
