time,signal,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,blinkStrength,
122513,0,75,43,179322,49402,20048,27877,22475,11059,18405,14467,39,
122514,0,70,56,6484,43717,18809,22453,9240,12037,6891,5244,39,
122515,0,64,67,12447,28341,5122,16656,6438,15470,15423,6634,39,
122516,0,64,83,66042,38926,66175,46318,18904,19211,8833,4416,39,
122517,0,75,90,8896,5132,44988,1261,17757,21629,14474,12098,39,
122518,0,77,80,192250,105490,15166,22534,25041,23752,5613,5921,39,
122519,0,83,75,23469,17367,12372,7153,15207,30442,13116,7703,39,
122520,0,83,54,506905,62630,12280,8606,17270,13020,9686,4530,39,
122521,0,74,38,1780937,122525,11767,32554,19604,17581,14285,9380,39,
122522,0,81,56,53410,4710,17113,25250,5985,26018,22714,11970,39,
122523,0,80,50,33919,20152,8658,1844,23411,20077,13544,8839,39,
122524,0,87,61,3859,8995,9136,6688,5757,10101,12357,2913,39,
122525,0,97,70,12821,13629,2641,24858,3564,23793,10750,5335,39,
122526,0,100,57,25635,16081,12450,4813,13183,23101,15278,8896,39,
122528,0,91,83,88145,25361,40603,29012,7661,19942,31279,3573,39,
122529,0,60,80,52340,52944,31148,7082,10596,12027,3948,3156,39,
122530,0,47,91,178337,50373,64279,14481,18960,14487,13525,5558,39,
122531,0,44,53,415460,115988,4237,2062,14678,19083,6335,4505,39,
122532,0,67,47,51755,26746,8557,10888,2915,27562,6173,3876,39,
122533,0,80,38,35430,7636,1104,3681,9570,7266,17860,4451,39,
122534,0,78,35,111133,15353,3140,11573,5729,2934,4112,5707,39,
122535,0,69,50,736972,277509,32701,27426,36688,17055,9846,11735,39,
122536,0,61,44,111299,52397,5445,11050,15340,12020,12103,6555,39,
122537,0,60,51,3217,6278,7754,5078,15267,9498,5006,5811,39,
122538,0,61,43,6560,41024,9169,16427,30293,7872,10985,2302,39,
122539,0,66,44,153384,208001,31052,21063,12169,29065,15698,6929,39,
122540,0,63,53,138974,222756,99761,59946,44981,31041,13051,4995,39,
122541,0,44,43,726522,257746,22166,20677,22744,12609,6308,3930,39,
122542,0,47,50,105133,25790,12702,16334,14946,8746,24240,15725,39,
122543,0,50,67,49355,24399,55056,17313,18548,15120,12172,10499,39,
122545,0,50,60,146888,21120,3787,1873,1944,2646,3205,1656,39,
122546,0,64,57,1000,8448,9372,1716,4950,5863,7511,4665,43,
