time,userActivity,activeProcess,windowTitle
160203172010,active,,
160203172010,active,javaw.exe,Logger
160203172021,active,javaw.exe,Java - WorkplaceConcentration/src/view/Resources.java - Eclipse
160203172031,active,,
160203172032,active,javaw.exe,Logger
